ts,session_id,serve_id,attempt_id,item_id,item_type,action,correct
2025-10-24T16:24:05.075684+00:00,s_2dbf73a0,,,i_type_a_002,TYPE_A,served,
2025-10-24T16:24:28.736891+00:00,s_2dbf73a0,,,i_type_a_002,TYPE_A,answered,true
2025-10-24T16:24:30.839030+00:00,s_2dbf73a0,,,i_type_a_002,TYPE_A,answered,false
2025-10-24T16:24:55.159461+00:00,s_2dbf73a0,,,i_type_a_002,TYPE_A,answered,false
2025-10-24T16:24:55.166804+00:00,s_2dbf73a0,,,i_type_a_002,TYPE_A,answered,false
2025-10-24T16:24:55.172671+00:00,s_2dbf73a0,,,i_type_a_002,TYPE_A,answered,false
2025-10-24T16:24:55.176604+00:00,s_2dbf73a0,,,i_type_a_002,TYPE_A,answered,false
2025-10-24T16:24:55.181044+00:00,s_2dbf73a0,,,i_type_a_002,TYPE_A,answered,false
2025-10-24T16:24:55.188359+00:00,s_2dbf73a0,,,i_type_a_002,TYPE_A,answered,false
2025-10-24T16:24:55.194912+00:00,s_2dbf73a0,,,i_type_a_002,TYPE_A,answered,false
2025-10-24T16:24:55.203046+00:00,s_2dbf73a0,,,i_type_a_002,TYPE_A,answered,false
2025-10-24T16:24:55.206855+00:00,s_2dbf73a0,,,i_type_a_002,TYPE_A,answered,false
2025-10-24T16:24:55.210467+00:00,s_2dbf73a0,,,i_type_a_002,TYPE_A,answered,false
2025-10-24T16:24:55.214857+00:00,s_2dbf73a0,,,i_type_a_002,TYPE_A,answered,false
2025-10-24T16:24:55.222201+00:00,s_2dbf73a0,,,i_type_a_002,TYPE_A,answered,false
2025-10-24T16:24:55.227737+00:00,s_2dbf73a0,,,i_type_a_002,TYPE_A,answered,false
2025-10-24T16:24:55.233495+00:00,s_2dbf73a0,,,i_type_a_002,TYPE_A,answered,false
2025-10-24T16:24:55.239877+00:00,s_2dbf73a0,,,i_type_a_002,TYPE_A,answered,false
2025-10-24T16:24:55.245770+00:00,s_2dbf73a0,,,i_type_a_002,TYPE_A,answered,false
2025-10-24T16:24:55.252526+00:00,s_2dbf73a0,,,i_type_a_002,TYPE_A,answered,false
2025-10-24T16:24:55.258473+00:00,s_2dbf73a0,,,i_type_a_002,TYPE_A,answered,false
2025-10-24T16:24:55.265654+00:00,s_2dbf73a0,,,i_type_a_002,TYPE_A,answered,false
2025-10-24T16:24:55.276072+00:00,s_2dbf73a0,,,i_type_a_002,TYPE_A,answered,false
2025-10-24T16:24:55.280989+00:00,s_2dbf73a0,,,i_type_a_002,TYPE_A,answered,false
2025-10-24T16:24:55.285385+00:00,s_2dbf73a0,,,i_type_a_002,TYPE_A,answered,false
2025-10-24T16:24:55.289215+00:00,s_2dbf73a0,,,i_type_a_002,TYPE_A,answered,false
2025-10-24T16:24:55.293688+00:00,s_2dbf73a0,,,i_type_a_002,TYPE_A,answered,false
2025-10-24T16:24:55.297723+00:00,s_2dbf73a0,,,i_type_a_002,TYPE_A,answered,false
2025-10-24T16:24:55.301700+00:00,s_2dbf73a0,,,i_type_a_002,TYPE_A,answered,false
2025-10-24T16:24:55.306265+00:00,s_2dbf73a0,,,i_type_a_002,TYPE_A,answered,false
2025-10-24T16:24:55.310159+00:00,s_2dbf73a0,,,i_type_a_002,TYPE_A,answered,false
2025-10-24T16:29:29.317441+00:00,s_2dbf73a0,,,i_type_a_001,TYPE_A,served,
2025-10-24T16:30:08.814729+00:00,s_2dbf73a0,,,i_type_a_001,TYPE_A,served,
2025-10-24T16:48:46.377588+00:00,s_2dbf73a0,serve_cfe35e6b,,i_type_a_002,TYPE_A,served,
2025-10-24T16:48:53.464660+00:00,s_2dbf73a0,serve_612f309c,,i_type_a_001,TYPE_A,served,
2025-10-24T16:49:34.198199+00:00,s_2dbf73a0,serve_612f309c,attempt_536679a8,i_type_a_001,TYPE_A,answered,true
2025-10-24T16:49:43.737755+00:00,s_2dbf73a0,serve_612f309c,attempt_26dbe809,i_type_a_001,TYPE_A,answered,true
2025-10-24T16:56:29.953544+00:00,s_2dbf73a0,serve_46b82be4,,i_type_a_002,TYPE_A,served,
2025-10-24T16:56:29.991533+00:00,s_2dbf73a0,serve_46b82be4,attempt_7d0c9c81,i_type_a_002,TYPE_A,answered,true
